Table Name,Player Name,Player Gender,Player Years Old,Play Start Date Exact,Play End Date Exact,Total Minutes Played This Session,Play Start Date Hour,Play End Date Hour,Table Currency,Player Card Level,Session Cash Buy In Dollars,Session Chips Buy In Dollars,Session Cash Out Amount Dollars,Session Player Lost Dollars,Session Player Average Bet,Number of Bets Per Hour,Hold Percentage
AR-1,Player 1008,Male,Unknown,2/6/2019 10:40:00 PM,2/6/2019 10:41:00 PM,1,2019-02-06 22:00:00,2019-02-06 22:00:00,$,Card Type 1,40,0,0,40,0,50,0.05260
AR-1,Player 1008,Male,Unknown,2/12/2019 8:55:00 PM,2/12/2019 8:56:00 PM,1,2019-02-12 20:00:00,2019-02-12 20:00:00,$,Card Type 1,55,0,154,-99,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,2/18/2019 12:58:00 PM,2/18/2019 12:59:00 PM,1,2019-02-18 12:00:00,2019-02-18 12:00:00,$,Card Type 1,15,0,0,15,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,2/19/2019 6:42:00 PM,2/19/2019 6:43:00 PM,1,2019-02-19 18:00:00,2019-02-19 18:00:00,$,Card Type 1,200,0,200,0,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,2/22/2019 8:11:00 PM,2/22/2019 8:12:00 PM,1,2019-02-22 20:00:00,2019-02-22 20:00:00,$,Card Type 1,200,0,292,-92,0,50,0.02500
BJ-1,Player 1008,Male,Unknown,2/25/2019 9:56:00 PM,2/25/2019 9:57:00 PM,1,2019-02-25 21:00:00,2019-02-25 21:00:00,$,Card Type 1,200,0,300,-100,0,50,0.02500
CSP-1,Player 1008,Male,Unknown,3/1/2019 10:49:00 PM,3/1/2019 10:50:00 PM,1,2019-03-01 22:00:00,2019-03-01 22:00:00,$,Card Type 1,0,155,125,30,0,15,0.01500
BJ-3,Player 1008,Male,Unknown,3/1/2019 9:53:00 PM,3/1/2019 9:54:00 PM,1,2019-03-01 21:00:00,2019-03-01 21:00:00,$,Card Type 1,210,0,155,55,0,50,0.02500
AR-1,Player 1008,Male,Unknown,3/1/2019 11:02:00 PM,3/1/2019 11:40:00 PM,38,2019-03-01 23:00:00,2019-03-01 23:00:00,$,Card Type 1,161,132,200,93,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,3/2/2019 6:53:00 PM,3/2/2019 6:58:00 PM,5,2019-03-02 18:00:00,2019-03-02 18:00:00,$,Card Type 1,20,0,0,20,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,3/3/2019 6:00:00 PM,3/3/2019 6:23:00 PM,23,2019-03-03 18:00:00,2019-03-03 18:00:00,$,Card Type 1,265,0,0,265,0,50,0.02500
AR-1,Player 1008,Male,Unknown,3/3/2019 6:44:00 PM,3/3/2019 6:52:00 PM,8,2019-03-03 18:00:00,2019-03-03 18:00:00,$,Card Type 1,0,64,3,61,0,50,0.05260
CSP-2,Player 1008,Male,Unknown,3/3/2019 6:24:00 PM,3/3/2019 6:25:00 PM,1,2019-03-03 18:00:00,2019-03-03 18:00:00,$,Card Type 1,100,0,64,36,0,15,0.01500
BJ-3,Player 1008,Male,Unknown,3/3/2019 7:03:00 PM,3/3/2019 7:50:00 PM,47,2019-03-03 19:00:00,2019-03-03 19:00:00,$,Card Type 1,0,100,0,100,0,50,0.02500
BJ-2,Player 1008,Male,Unknown,3/8/2019 9:47:00 PM,3/8/2019 9:48:00 PM,1,2019-03-08 21:00:00,2019-03-08 21:00:00,$,Card Type 1,40,0,135,-95,0,50,0.02500
BJ-2,Player 1008,Male,Unknown,3/9/2019 7:39:00 PM,3/9/2019 10:13:00 PM,154,2019-03-09 19:00:00,2019-03-09 22:00:00,$,Card Type 1,400,0,322,78,20,50,0.02500
BJ-1,Player 1008,Male,Unknown,3/17/2019 10:17:00 PM,3/17/2019 10:18:00 PM,1,2019-03-17 22:00:00,2019-03-17 22:00:00,$,Card Type 1,130,0,7,123,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,3/23/2019 6:00:00 AM,3/23/2019 6:03:00 AM,3,2019-03-23 06:00:00,2019-03-23 06:00:00,$,Card Type 1,25,0,0,25,5,50,0.02500
BJ-3,Player 1008,Male,Unknown,3/23/2019 6:43:00 AM,3/23/2019 6:44:00 AM,1,2019-03-23 06:00:00,2019-03-23 06:00:00,$,Card Type 1,20,0,52,-32,5,50,0.02500
BJ-3,Player 1008,Male,Unknown,3/24/2019 4:28:00 PM,3/24/2019 5:06:00 PM,38,2019-03-24 16:00:00,2019-03-24 17:00:00,$,Card Type 1,200,0,210,-10,0,50,0.02500
AR-1,Player 1008,Male,Unknown,3/28/2019 5:17:00 PM,3/28/2019 5:18:00 PM,1,2019-03-28 17:00:00,2019-03-28 17:00:00,$,Card Type 1,20,0,20,0,20,50,0.05260
BJ-2,Player 1008,Male,Unknown,3/28/2019 9:34:00 PM,3/28/2019 11:34:00 PM,120,2019-03-28 21:00:00,2019-03-28 23:00:00,$,Card Type 1,500,0,0,500,0,50,0.02500
AR-1,Player 1008,Male,Unknown,4/1/2019 5:44:00 PM,4/1/2019 5:45:00 PM,1,2019-04-01 17:00:00,2019-04-01 17:00:00,$,Card Type 1,100,0,0,100,0,50,0.05260
AR-1,Player 1008,Male,Unknown,4/14/2019 6:49:00 PM,4/14/2019 6:50:00 PM,1,2019-04-14 18:00:00,2019-04-14 18:00:00,$,Card Type 1,20,0,0,20,0,50,0.05260
BJ-2,Player 1008,Male,Unknown,4/15/2019 9:39:00 PM,4/15/2019 9:40:00 PM,1,2019-04-15 21:00:00,2019-04-15 21:00:00,$,Card Type 1,150,0,0,150,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,4/20/2019 11:36:00 AM,4/20/2019 12:30:00 PM,54,2019-04-20 11:00:00,2019-04-20 12:00:00,$,Card Type 1,100,0,97,3,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,4/28/2019 1:00:00 AM,4/28/2019 1:01:00 AM,1,2019-04-28 01:00:00,2019-04-28 01:00:00,$,Card Type 1,0,85,0,85,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,4/29/2019 6:34:00 PM,4/29/2019 6:48:00 PM,14,2019-04-29 18:00:00,2019-04-29 18:00:00,$,Card Type 1,20,0,0,20,5,50,0.02500
AR-1,Player 1008,Male,Unknown,4/29/2019 6:36:00 PM,4/29/2019 6:40:00 PM,4,2019-04-29 18:00:00,2019-04-29 18:00:00,$,Card Type 1,20,0,0,20,5,50,0.05260
AR-1,Player 1008,Male,Unknown,5/4/2019 8:29:00 PM,5/4/2019 8:48:00 PM,19,2019-05-04 20:00:00,2019-05-04 20:00:00,$,Card Type 1,320,0,0,320,0,50,0.05260
AR-1,Player 1008,Male,Unknown,5/7/2019 8:42:00 PM,5/7/2019 8:43:00 PM,1,2019-05-07 20:00:00,2019-05-07 20:00:00,$,Card Type 1,58,0,0,58,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,5/12/2019 12:44:00 AM,5/12/2019 1:46:00 AM,62,2019-05-12 00:00:00,2019-05-12 01:00:00,$,Card Type 1,76,0,35,41,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,5/11/2019 11:56:00 PM,5/12/2019 12:27:00 AM,31,2019-05-11 23:00:00,2019-05-12 00:00:00,$,Card Type 1,40,0,70,-30,20,50,0.02500
BJ-3,Player 1008,Male,Unknown,5/18/2019 5:07:00 PM,5/18/2019 5:08:00 PM,1,2019-05-18 17:00:00,2019-05-18 17:00:00,$,Card Type 1,75,0,197,-122,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,5/21/2019 7:29:00 PM,5/21/2019 7:30:00 PM,1,2019-05-21 19:00:00,2019-05-21 19:00:00,$,Card Type 1,15,0,0,15,0,50,0.02500
CSP-1,Player 1008,Male,Unknown,5/24/2019 10:30:00 PM,5/24/2019 11:02:00 PM,32,2019-05-24 22:00:00,2019-05-24 23:00:00,$,Card Type 1,100,0,105,-5,15,15,0.01500
BJ-3,Player 1008,Male,Unknown,5/25/2019 3:00:00 AM,5/25/2019 3:01:00 AM,1,2019-05-25 03:00:00,2019-05-25 03:00:00,$,Card Type 1,0,15,0,15,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,6/10/2019 9:00:00 PM,6/10/2019 9:01:00 PM,1,2019-06-10 21:00:00,2019-06-10 21:00:00,$,Card Type 1,5,0,28,-23,0,50,0.02500
AR-1,Player 1008,Male,Unknown,6/11/2019 8:26:00 PM,6/11/2019 8:27:00 PM,1,2019-06-11 20:00:00,2019-06-11 20:00:00,$,Card Type 1,50,0,0,50,0,50,0.05260
AR-1,Player 1008,Male,Unknown,6/18/2019 7:40:00 PM,6/18/2019 7:41:00 PM,1,2019-06-18 19:00:00,2019-06-18 19:00:00,$,Card Type 1,20,0,0,20,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,5/7/2019 8:44:00 PM,5/7/2019 8:45:00 PM,1,2019-05-07 20:00:00,2019-05-07 20:00:00,$,Card Type 1,40,0,0,40,0,50,0.02500
AR-1,Player 1008,Male,Unknown,6/30/2019 8:10:00 PM,6/30/2019 8:11:00 PM,1,2019-06-30 20:00:00,2019-06-30 20:00:00,$,Card Type 1,100,0,75,25,0,50,0.05260
AR-1,Player 1008,Male,Unknown,6/30/2019 5:50:00 PM,6/30/2019 5:53:00 PM,3,2019-06-30 17:00:00,2019-06-30 17:00:00,$,Card Type 1,0,49,0,49,0,50,0.05260
AR-1,Player 1008,Male,Unknown,6/30/2019 6:02:00 PM,6/30/2019 8:09:00 PM,127,2019-06-30 18:00:00,2019-06-30 20:00:00,$,Card Type 1,120,0,0,120,0,50,0.05260
AR-1,Player 1008,Male,Unknown,7/2/2019 10:33:00 PM,7/2/2019 10:34:00 PM,1,2019-07-02 22:00:00,2019-07-02 22:00:00,$,Card Type 1,120,0,0,120,0,50,0.05260
AR-1,Player 1008,Male,Unknown,7/7/2019 12:00:00 AM,7/7/2019 1:00:00 AM,60,2019-07-07 00:00:00,2019-07-07 01:00:00,$,Card Type 1,100,0,0,100,20,50,0.05260
AR-1,Player 1008,Male,Unknown,7/20/2019 9:35:00 PM,7/20/2019 9:36:00 PM,1,2019-07-20 21:00:00,2019-07-20 21:00:00,$,Card Type 1,200,0,0,200,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,7/29/2019 9:01:00 PM,7/29/2019 9:02:00 PM,1,2019-07-29 21:00:00,2019-07-29 21:00:00,$,Card Type 1,100,0,0,100,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,8/3/2019 1:45:00 AM,8/3/2019 2:45:00 AM,60,2019-08-03 01:00:00,2019-08-03 02:00:00,$,Card Type 1,100,0,187,-87,10,50,0.02500
BJ-3,Player 1008,Male,Unknown,8/11/2019 10:03:00 AM,8/11/2019 10:29:00 AM,26,2019-08-11 10:00:00,2019-08-11 10:00:00,$,Card Type 1,40,0,81,-41,0,50,0.02500
AR-1,Player 1008,Male,Unknown,8/22/2019 4:56:00 PM,8/22/2019 4:57:00 PM,1,2019-08-22 16:00:00,2019-08-22 16:00:00,$,Card Type 1,30,0,50,-20,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,9/5/2019 9:09:00 PM,9/5/2019 9:10:00 PM,1,2019-09-05 21:00:00,2019-09-05 21:00:00,$,Card Type 1,200,0,90,110,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,9/13/2019 11:00:00 PM,9/13/2019 11:15:00 PM,15,2019-09-13 23:00:00,2019-09-13 23:00:00,$,Card Type 1,190,0,80,110,5,50,0.02500
BJ-3,Player 1008,Male,Unknown,9/24/2019 8:00:00 PM,9/24/2019 8:01:00 PM,1,2019-09-24 20:00:00,2019-09-24 20:00:00,$,Card Type 1,20,0,20,0,0,50,0.02500
BJ-2,Player 1008,Male,Unknown,9/28/2019 7:34:00 PM,9/28/2019 10:30:00 PM,176,2019-09-28 19:00:00,2019-09-28 22:00:00,$,Card Type 1,200,0,237,-37,0,50,0.02500
BJ-2,Player 1008,Male,Unknown,9/28/2019 10:55:00 PM,9/28/2019 10:56:00 PM,1,2019-09-28 22:00:00,2019-09-28 22:00:00,$,Card Type 1,100,0,202,-102,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,10/2/2019 7:28:00 PM,10/2/2019 10:51:00 PM,203,2019-10-02 19:00:00,2019-10-02 22:00:00,$,Card Type 1,440,0,435,5,10,50,0.02500
BJ-3,Player 1008,Male,Unknown,10/4/2019 7:59:00 PM,10/4/2019 8:32:00 PM,33,2019-10-04 19:00:00,2019-10-04 20:00:00,$,Card Type 1,100,0,162,-62,0,50,0.02500
AR-1,Player 1008,Male,Unknown,10/5/2019 2:42:00 AM,10/5/2019 2:43:00 AM,1,2019-10-05 02:00:00,2019-10-05 02:00:00,$,Card Type 1,20,0,0,20,0,50,0.05260
AR-1,Player 1008,Male,Unknown,10/5/2019 6:25:00 PM,10/5/2019 6:26:00 PM,1,2019-10-05 18:00:00,2019-10-05 18:00:00,$,Card Type 1,170,0,0,170,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,10/13/2019 5:00:00 AM,10/13/2019 5:01:00 AM,1,2019-10-13 05:00:00,2019-10-13 05:00:00,$,Card Type 1,100,0,50,50,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,10/13/2019 3:00:00 AM,10/13/2019 3:01:00 AM,1,2019-10-13 03:00:00,2019-10-13 03:00:00,$,Card Type 1,0,25,75,-50,0,50,0.02500
BJ-3,Player 1008,Male,Unknown,10/13/2019 6:00:00 AM,10/13/2019 6:01:00 AM,1,2019-10-13 06:00:00,2019-10-13 06:00:00,$,Card Type 1,0,50,150,-100,0,50,0.02500
BJ-2,Player 1008,Male,Unknown,10/13/2019 2:33:00 PM,10/13/2019 2:34:00 PM,1,2019-10-13 14:00:00,2019-10-13 14:00:00,$,Card Type 1,100,0,160,-60,0,50,0.02500
CSP-1,Player 1008,Male,Unknown,10/14/2019 9:45:00 PM,10/14/2019 10:26:00 PM,41,2019-10-14 21:00:00,2019-10-14 22:00:00,$,Card Type 1,140,0,0,140,0,15,0.01500
CSP-1,Player 1008,Male,Unknown,10/24/2019 6:20:00 PM,10/24/2019 6:21:00 PM,1,2019-10-24 18:00:00,2019-10-24 18:00:00,$,Card Type 1,500,0,0,500,0,15,0.01500
BJ-3,Player 1008,Male,Unknown,10/24/2019 4:00:00 PM,10/24/2019 4:01:00 PM,1,2019-10-24 16:00:00,2019-10-24 16:00:00,$,Card Type 1,0,25,75,-50,0,50,0.02500
AR-1,Player 1008,Male,Unknown,10/25/2019 6:52:00 PM,10/25/2019 6:53:00 PM,1,2019-10-25 18:00:00,2019-10-25 18:00:00,$,Card Type 1,48,0,0,48,0,50,0.05260
AR-1,Player 1008,Male,Unknown,10/25/2019 9:16:00 PM,10/25/2019 9:17:00 PM,1,2019-10-25 21:00:00,2019-10-25 21:00:00,$,Card Type 1,15,0,2,13,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,10/25/2019 7:40:00 PM,10/25/2019 7:42:00 PM,2,2019-10-25 19:00:00,2019-10-25 19:00:00,$,Card Type 1,0,40,0,40,0,50,0.02500
AR-1,Player 1008,Male,Unknown,10/30/2019 12:17:00 AM,10/30/2019 12:18:00 AM,1,2019-10-30 00:00:00,2019-10-30 00:00:00,$,Card Type 1,12,0,22,-10,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,11/8/2019 11:58:00 PM,11/8/2019 11:59:00 PM,1,2019-11-08 23:00:00,2019-11-08 23:00:00,$,Card Type 1,100,0,75,25,0,50,0.02500
AR-1,Player 1008,Male,Unknown,11/9/2019 12:19:00 AM,11/9/2019 12:20:00 AM,1,2019-11-09 00:00:00,2019-11-09 00:00:00,$,Card Type 1,0,75,260,-185,0,50,0.05260
CSP-2,Player 1008,Male,Unknown,11/15/2019 3:00:00 AM,11/15/2019 3:01:00 AM,1,2019-11-15 03:00:00,2019-11-15 03:00:00,$,Card Type 1,0,50,95,-45,0,15,0.01500
AR-1,Player 1008,Male,Unknown,11/16/2019 5:05:00 PM,11/16/2019 5:06:00 PM,1,2019-11-16 17:00:00,2019-11-16 17:00:00,$,Card Type 1,0,104,2,102,0,50,0.05260
AR-1,Player 1008,Male,Unknown,11/30/2019 4:21:00 PM,11/30/2019 4:26:00 PM,5,2019-11-30 16:00:00,2019-11-30 16:00:00,$,Card Type 1,100,0,0,100,5,50,0.05260
AR-1,Player 1008,Male,Unknown,12/17/2019 10:50:00 PM,12/17/2019 10:51:00 PM,1,2019-12-17 22:00:00,2019-12-17 22:00:00,$,Card Type 1,200,0,0,200,0,50,0.05260
BJ-3,Player 1008,Male,Unknown,12/19/2019 1:03:00 AM,12/19/2019 1:05:00 AM,2,2019-12-19 01:00:00,2019-12-19 01:00:00,$,Card Type 1,25,0,0,25,0,50,0.02500
BJ-2,Player 1022,Male,37,9/17/2019 5:50:00 PM,9/17/2019 6:10:00 PM,20,2019-09-17 17:00:00,2019-09-17 18:00:00,$,Card Type 1,100,0,0,100,20,50,0.02500
BJ-3,Player 1159,Male,57,8/19/2019 1:42:00 PM,8/19/2019 2:30:00 PM,48,2019-08-19 13:00:00,2019-08-19 14:00:00,$,Card Type 102,100,0,230,-130,10,50,0.02500
BJ-3,Player 1159,Male,57,8/24/2019 5:28:00 PM,8/24/2019 5:29:00 PM,1,2019-08-24 17:00:00,2019-08-24 17:00:00,$,Card Type 102,0,0,30,-30,0,50,0.02500
BJ-3,Player 1159,Male,57,8/24/2019 5:28:00 PM,8/24/2019 5:33:00 PM,5,2019-08-24 17:00:00,2019-08-24 17:00:00,$,Card Type 102,0,0,30,-30,0,50,0.02500
BJ-3,Player 1159,Male,57,8/15/2019 7:44:00 PM,8/15/2019 9:50:00 PM,126,2019-08-15 19:00:00,2019-08-15 21:00:00,$,Card Type 102,500,0,0,500,50,50,0.02500
AR-1,Player 1159,Male,57,8/16/2019 3:00:00 PM,8/16/2019 3:01:00 PM,1,2019-08-16 15:00:00,2019-08-16 15:00:00,$,Card Type 102,0,0,0,0,0,50,0.05260
BJ-3,Player 1159,Male,57,8/17/2019 1:14:00 AM,8/17/2019 4:19:00 AM,185,2019-08-17 01:00:00,2019-08-17 04:00:00,$,Card Type 102,200,0,308,-108,25,50,0.02500
BJ-3,Player 1159,Male,57,8/17/2019 3:16:00 PM,8/17/2019 4:27:00 PM,71,2019-08-17 15:00:00,2019-08-17 16:00:00,$,Card Type 102,229,0,0,229,50,50,0.02500
BJ-3,Player 1159,Male,57,8/17/2019 10:05:00 PM,8/17/2019 11:05:00 PM,60,2019-08-17 22:00:00,2019-08-17 23:00:00,$,Card Type 102,100,0,250,-150,30,50,0.02500
BJ-3,Player 1159,Male,57,6/10/2019 10:06:00 PM,6/10/2019 10:31:00 PM,25,2019-06-10 22:00:00,2019-06-10 22:00:00,$,Card Type 102,100,0,104,-4,5,50,0.02500
BJ-3,Player 1159,Male,57,6/9/2019 6:31:00 PM,6/9/2019 6:49:00 PM,18,2019-06-09 18:00:00,2019-06-09 18:00:00,$,Card Type 102,50,0,100,-50,5,50,0.02500
BJ-3,Player 1159,Male,57,6/12/2019 1:20:00 PM,6/12/2019 2:17:00 PM,57,2019-06-12 13:00:00,2019-06-12 14:00:00,$,Card Type 102,100,0,115,-15,30,50,0.02500
BJ-3,Player 1159,Male,57,6/12/2019 5:48:00 PM,6/12/2019 6:17:00 PM,29,2019-06-12 17:00:00,2019-06-12 18:00:00,$,Card Type 102,100,0,125,-25,30,50,0.02500
BJ-3,Player 1159,Male,57,6/13/2019 8:24:00 PM,6/13/2019 9:10:00 PM,46,2019-06-13 20:00:00,2019-06-13 21:00:00,$,Card Type 102,100,0,0,100,25,50,0.02500
BJ-3,Player 1159,Male,57,6/15/2019 3:37:00 PM,6/15/2019 4:02:00 PM,25,2019-06-15 15:00:00,2019-06-15 16:00:00,$,Card Type 102,100,0,240,-140,20,50,0.02500
BJ-3,Player 1159,Male,57,6/16/2019 12:09:00 AM,6/16/2019 1:04:00 AM,55,2019-06-16 00:00:00,2019-06-16 01:00:00,$,Card Type 102,300,0,3,297,20,50,0.02500
BJ-3,Player 1159,Male,57,6/8/2019 4:08:00 PM,6/8/2019 4:50:00 PM,42,2019-06-08 16:00:00,2019-06-08 16:00:00,$,Card Type 102,100,0,153,-53,10,50,0.02500
BJ-3,Player 1159,Male,57,6/8/2019 8:04:00 PM,6/8/2019 10:00:00 PM,116,2019-06-08 20:00:00,2019-06-08 22:00:00,$,Card Type 102,220,0,220,0,20,50,0.02500
BJ-3,Player 1159,Male,57,6/9/2019 12:55:00 AM,6/9/2019 3:36:00 AM,161,2019-06-09 00:00:00,2019-06-09 03:00:00,$,Card Type 102,205,17,300,-78,50,50,0.02500
BJ-3,Player 1159,Male,57,5/11/2019 5:37:00 PM,5/11/2019 6:06:00 PM,29,2019-05-11 17:00:00,2019-05-11 18:00:00,$,Card Type 102,100,0,155,-55,20,50,0.02500
BJ-3,Player 1159,Male,57,5/13/2019 9:26:00 PM,5/13/2019 9:35:00 PM,9,2019-05-13 21:00:00,2019-05-13 21:00:00,$,Card Type 102,100,0,174,-74,20,50,0.02500
BJ-3,Player 1159,Male,57,5/3/2019 3:12:00 PM,5/3/2019 4:35:00 PM,83,2019-05-03 15:00:00,2019-05-03 16:00:00,$,Card Type 102,136,0,110,26,10,50,0.02500
BJ-3,Player 1159,Male,57,4/29/2019 9:31:00 PM,4/29/2019 10:30:00 PM,59,2019-04-29 21:00:00,2019-04-29 22:00:00,$,Card Type 102,100,0,0,100,5,50,0.02500
BJ-3,Player 1159,Male,57,4/27/2019 8:14:00 PM,4/27/2019 8:28:00 PM,14,2019-04-27 20:00:00,2019-04-27 20:00:00,$,Card Type 102,100,0,132,-32,5,50,0.02500
BJ-3,Player 1159,Male,57,5/3/2019 11:20:00 PM,5/4/2019 12:00:00 AM,40,2019-05-03 23:00:00,2019-05-04 00:00:00,$,Card Type 102,100,0,0,100,10,50,0.02500
BJ-2,Player 1170,Male,70,12/17/2019 8:06:00 PM,12/17/2019 9:05:00 PM,59,2019-12-17 20:00:00,2019-12-17 21:00:00,$,Card Type 103,50,0,175,-125,15,50,0.02500
BJ-3,Player 1170,Male,70,12/14/2019 6:34:00 PM,12/14/2019 7:00:00 PM,26,2019-12-14 18:00:00,2019-12-14 19:00:00,$,Card Type 103,20,0,0,20,5,50,0.02500
AR-1,Player 1170,Male,70,12/24/2019 10:39:00 PM,12/24/2019 10:41:00 PM,2,2019-12-24 22:00:00,2019-12-24 22:00:00,$,Card Type 103,18,0,0,18,10,50,0.05260
BJ-3,Player 1170,Male,70,11/28/2019 7:22:00 PM,11/28/2019 7:38:00 PM,16,2019-11-28 19:00:00,2019-11-28 19:00:00,$,Card Type 103,30,0,0,30,5,50,0.02500
BJ-3,Player 1170,Male,70,12/5/2019 8:06:00 PM,12/5/2019 9:35:00 PM,89,2019-12-05 20:00:00,2019-12-05 21:00:00,$,Card Type 103,45,0,125,-80,10,50,0.02500
BJ-3,Player 1170,Male,70,12/7/2019 6:00:00 PM,12/7/2019 6:01:00 PM,1,2019-12-07 18:00:00,2019-12-07 18:00:00,$,Card Type 103,0,0,80,-80,0,50,0.02500
BJ-3,Player 1170,Male,70,12/8/2019 2:30:00 PM,12/8/2019 3:00:00 PM,30,2019-12-08 14:00:00,2019-12-08 15:00:00,$,Card Type 103,40,0,0,40,10,50,0.02500
BJ-3,Player 1170,Male,70,12/9/2019 6:34:00 PM,12/9/2019 6:37:00 PM,3,2019-12-09 18:00:00,2019-12-09 18:00:00,$,Card Type 103,10,0,10,0,5,50,0.02500
BJ-3,Player 1170,Male,70,12/11/2019 10:00:00 PM,12/11/2019 10:20:00 PM,20,2019-12-11 22:00:00,2019-12-11 22:00:00,$,Card Type 103,65,0,0,65,5,50,0.02500
